sku,brand,existing_info,missing_info,recommended_estimation_method,worth_further_research
foodbowl-cn-chaoji-niurou-wan 超级牛肉碗,超级碗 FOODBOWL,description; merchant_claim:菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入任何营养数值字段; combo_components; xhs_keywords,energy; protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-chaoji-diaoyu-wan 超级鲷鱼碗,超级碗 FOODBOWL,description; merchant_claim:菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入任何营养数值字段; combo_components; xhs_keywords,energy; protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-diy-basic-bowl 基础碗（自选搭配 DIY）,超级碗 FOODBOWL,description; merchant_claim:菜单每项配餐旁标注重量与卡路里（热量可视化）; 中国风味 热烹轻食; 菜单/媒体笼统宣称「一份约400-600大卡」——; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-hailu-duodanbai-reweng-shala 海陆多蛋白热烹沙拉,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; 精准控卡; 菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-caijiao-jixiong-shuangdanbai-reweng-shala 彩椒鸡胸双蛋白热烹沙拉,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; 精准控卡; 菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-dizhonghai-xiari-shala 地中海夏日沙拉,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; 精准控卡; 菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-hailu-shuangdanbai-dizhonghai-shala 海陆双蛋白地中海夏日沙拉,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; 精准控卡; 菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-yanxun-jixiong-dizhonghai-shala 果木烟熏鸡胸地中海沙拉,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; 精准控卡; 菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-sanwenyu-shuangdanbai-dizhonghai-shala 三文鱼双蛋白地中海夏日沙拉,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; 精准控卡; 菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_claim，未填入; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-huangshizi-niurou-xianshuguo 黄柿子牛肉鲜蔬锅,超级碗 FOODBOWL,description; merchant_claim:官方标注：含汤约800g/份，620卡，蛋白28g，脂肪42g，碳水29g; 天然食材成汤; 减油减盐，汤也放心喝; 6; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-huangshizi-jirou-xianshuguo 黄柿子鸡肉鲜蔬锅,超级碗 FOODBOWL,description; merchant_claim:官方标注：含汤约780g/份，435卡，蛋白35g，脂肪19g，碳水33g; 低脂高蛋白; 减油减盐; 菜单/媒体笼统宣; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-xinjiang-fanqie-jirou-xianshuguo 新疆番茄鸡肉鲜蔬锅,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; 减油减盐，汤也放心喝; 门店每日新鲜现做; 菜单/媒体笼统宣称「一份约400-600大卡」——为 me; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-xinjiang-fanqie-niurou-xianshuguo 新疆番茄牛肉鲜蔬锅,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; 减油减盐，汤也放心喝; 门店每日新鲜现做; 菜单/媒体笼统宣称「一份约400-600大卡」——为 me; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-dongyingong-jirou-xianshuguo 冬阴功鸡肉鲜蔬锅,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; 减油减盐，汤也放心喝; 门店每日新鲜现做; 菜单/媒体笼统宣称「一份约400-600大卡」——为 me; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-dongyingong-niurou-xianshuguo 冬阴功牛肉鲜蔬锅,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; 减油减盐，汤也放心喝; 门店每日新鲜现做; 菜单/媒体笼统宣称「一份约400-600大卡」——为 me; combo_components; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-yaochun-xiansun-jirou-caifan 咬春鲜笋鸡肉菜饭,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; 中国风味 热烹轻食; 菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_clai; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-banban-jirou-shishu-banmian 半半鸡肉时蔬拌面,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; 中国风味 热烹轻食; 菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_clai; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-banban-jisi-shishu-banmian 半半鸡丝时蔬拌面,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; 中国风味 热烹轻食; 菜单/媒体笼统宣称「一份约400-600大卡」——为 merchant_clai; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-meiyuzi-tangxindan 美玉子溏心蛋,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-meiyuzi-wenquandan 美玉子温泉蛋,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-yumibei 玉米杯,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-houdanshao 厚蛋烧,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-binfen-shishu-cuipichang 缤纷时蔬脆皮肠,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-dika-nuoxiang-kaonangua 低卡糯香烤南瓜,超级碗 FOODBOWL,description; merchant_claim:商品名含「低卡」——命名营销语，非营养事实; 菜单标注卡路里; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-lingtang-dika-dongningcha 零糖低卡冻柠茶,超级碗 FOODBOWL,description; merchant_claim:商品名含「零糖低卡」——命名营销语；第三方计算器给1 kcal，与之相符; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-fengmi-hongzaocha 蜂蜜红枣茶,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-nuanxiang-nanguatang 暖香南瓜汤,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-tianran-fenxian-yeshui 天然粉鲜椰水,超级碗 FOODBOWL,description; merchant_claim:商品名含「天然」——命名营销语; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-miwu-zishu-yanmainai 迷雾紫薯燕麦奶,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; xhs_keywords,energy; protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-meishi-kafei 美式咖啡,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; xhs_keywords,protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-doujiang 豆浆,超级碗 FOODBOWL,description; merchant_claim:菜单标注卡路里; xhs_keywords,energy; protein; carbs; fat; sodium,component_estimate,yes
foodbowl-cn-baixiangguo-shui 百香果水,超级碗 FOODBOWL,description; merchant_claim:自营饮品; xhs_keywords,energy; protein; carbs; fat; sodium,component_estimate,yes
kfc-cn-orlean-jin-cui-kao-ji-tui-bao 奥尔良劲脆烤鸡腿堡,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-jin-cui-chao-ba-bao 劲脆超霸堡,肯德基,description; xhs_keywords,protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-zhi-zhi-he-niu-bao-zhi-shi-yan-xun 汁汁和牛堡（芝士烟熏）,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-zhi-shi-zhi-zhi-nen-niu-bao 芝士汁汁嫩牛堡,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-yi-shi-rou-jiang-zhi-zhi-nen-niu-bao 意式肉酱汁汁嫩牛堡,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-ji-tui-rou-ba-bao 鸡腿肉霸堡,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-wo-ai-yuan-wei-ji-rou-ba-bao 我爱原味鸡肉霸堡,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-pei-gen-ji-tui-rou-ba-bao 培根鸡腿肉霸堡,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-huang-jin-spa-ji-pai-bao 黄金SPA鸡排堡（藤椒风味）,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-san-chong-xiang-la-ji-tui-bao 三重香辣鸡腿堡,肯德基,description; merchant_claim:仙逆动画联名; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-ao-li-ao-yuan-wei-ji-han-bao 奥利奥原味鸡汉堡,肯德基,description; merchant_claim:奥利奥联名; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-shou-bo-xiang-la-xiao-long-xia-kao-ji-tui-bao 手剥香辣小龙虾烤鸡腿堡,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-nen-niu-wu-fang 嫩牛五方,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-gong-cai-nen-niu-wu-fang 贡菜嫩牛五方,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-hong-yun-nen-niu-wu-fang 红运嫩牛五方,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-chuan-xiang-bo-bo-ji-da-xia-ta-ke 川香钵钵鸡风味大虾塔可,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-shun-zhi-yuan-wei-ji 吮指原味鸡,肯德基,description; xhs_keywords,protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-huang-jin-cui-pi-ji 黄金脆皮鸡,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-xiang-ju-zhi-bao-ji 香焗纸包鸡,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-mi-zhi-quan-ji 秘汁全鸡,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-guo-mu-yan-xun-shao-kao-zheng-ji-jia 果木烟熏烧烤整鸡架,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-ma-la-da-ji-jia 麻辣大鸡架,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-tang-ka-li-yuan-wei-ji 汤咖喱原味鸡（含土豆泥）,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-jie-me-duo-hai-tai-re-la-cui-pi-ji 芥么多海苔热辣脆皮鸡,肯德基,description; merchant_claim:炸鸡节第二波新品; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-bao-cui-ma-su-su-xiang-gu-ji 薄脆麻酥酥香骨鸡,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-xiang-la-ji-chi 香辣鸡翅,肯德基,description; xhs_keywords,protein; carbs; fat,xiaohongshu_weighed_search,yes
kfc-cn-bao-cui-jin-sha-ji-chi 薄脆金沙鸡翅,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-bao-cui-chi 薄脆翅,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-te-da-hao-re-la-chi-gen 特大号热辣翅根,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-xin-orlean-kao-chi-gen-tong 新奥尔良烤翅根桶（十根）,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-jin-bao-ji-mi-hua 劲爆鸡米花,肯德基,description; xhs_keywords,protein; carbs; fat,xiaohongshu_weighed_search,yes
kfc-cn-huang-jin-ji-kuai 黄金鸡块（5块）,肯德基,description; xhs_keywords,protein; carbs; fat,xiaohongshu_weighed_search,yes
kfc-cn-li-li-zi-ran-ji-kuai 粒粒孜然鸡块,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-xiang-cui-bei-bei-ji-kuai 香脆贝贝鸡块,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-yuan-wei-ji-ban-tu-dou-ni 原味鸡拌土豆泥,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-xiang-tian-yu-mi-bei 香甜玉米杯,肯德基,description; xhs_keywords,protein; carbs; fat,xiaohongshu_weighed_search,yes
kfc-cn-xiang-tian-su-mi-bang 香甜粟米棒,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-si-wei-xiao-shi-pin-pan 四味小食拼盘,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-wu-ke-dan-sha-la-cui-cui-chang-k-sa 五颗蛋沙拉脆脆肠K萨,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-pu-shi-dan-ta 葡式蛋挞,肯德基,description; xhs_keywords,protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-hong-dou-pai 红豆派,肯德基,description; xhs_keywords,protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-hong-dou-nai-huang-dan-ta 红豆奶皇蛋挞,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-qian-mu-mo-cha-hua-tong 千目抹茶花筒,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-yuan-wei-sheng-dai 原味圣代,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-hei-tang-zhen-zhu-sheng-dai 黑糖珍珠圣代,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-chao-nuo-nuo-ma-shu-sheng-dai 超糯糯麻薯圣代,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-nong-nong-mo-cha-sheng-dai 浓浓抹茶圣代,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-xue-cai-sun-ding-ji-rou-zhou 雪菜笋丁鸡肉粥,肯德基,description; merchant_claim:轻负担（营销口径）; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-jin-tang-chong-cao-hua-ji-huang-zhou 金汤虫草花鸡煌粥,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-sheng-gun-niu-rou-zhou 生滚牛肉粥,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-zhi-shi-hou-dan-shao-pa-ni-ni 芝士厚蛋烧帕尼尼,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-zhi-shi-niu-rou-dan-pa-ni-ni 芝士牛肉蛋帕尼尼,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-luo-le-qing-jiang-nen-ji-pa-ni-ni 罗勒青酱嫩鸡帕尼尼,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-rou-su-you-tiao-fan-tuan 肉酥油条饭团,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-da-bing-juan-xiang-kao-ji-pa-dan 大饼卷香烤鸡扒蛋,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-hei-jiao-niu-rou-dan-da-bing-juan 黑椒牛肉蛋大饼卷,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-k-ji-fa-mian-xiao-long-bao K记发面小笼包（5只）,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-xiang-cui-shu-bing 香脆薯饼,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-cha-ye-dan 茶叶蛋,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-tai-yang-dan 太阳蛋,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-hou-dan-shao 厚蛋烧,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-hu-luo-bo-hua-sheng-yun-duo-tu-si 乳酪花生云朵吐司,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-xiang-kao-su-pi-niu-rou-xian-bing 香烤酥皮牛肉馅饼,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-re-niu-nai 热牛奶,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-shun-zhi-yuan-wei-ji-men-ban-fan 吮指原味鸡焖拌饭,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-zha-ji-men-ban-fan 炸鸡焖拌饭,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-gang-shi-shao-wei-cui-pi-da-ji-tui-fan 港式烧味脆皮大鸡腿饭,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-lv-dou-yi-ren-qing-yang-zhou 绿豆薏仁轻养粥（常温版）,肯德基,description; merchant_claim:轻养（营销标签）; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-hai-tai-yan-shao-da-ji-tui-fan 海苔岩烧大鸡腿饭,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-xin-orlean-kao-ji-tui-fan 新奥尔良烤鸡腿饭,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-xiang-la-ji-liu-fan 香辣鸡柳饭,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-ri-shi-ka-li-ji-rou-fan 日式咖喱鸡饭,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-tai-shi-lu-rou-fan 台式卤肉饭,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-sheng-zha-da-ji-tui-chuan 生炸大鸡腿串,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
kfc-cn-zha-ji-jia-he 炸鸡架盒（川香麻辣/秘制飘香）,肯德基,description; xhs_keywords,energy; protein; carbs; fat; sodium,xiaohongshu_weighed_search,yes
