source_id,sku_id,brand,product_name,source_type,source_url,source_title,source_author,source_date,method_notes,is_official,confidence_grade,values_reported,notes
src-fm-xsw-400273,familymart-cn-quanmai-huotui-dan-shala-sanmingzhi,全家便利店,全麦火腿蛋沙拉三明治,third_party_analysis,https://www.xuanshiwu.com/foods/400273.html,选食物网 · 全麦火腿蛋沙拉三明治,选食物网(众包营养库),2024-10-20,选食物网(众包食品营养库)转录商品包装营养成分表(GB28050 '1+4')，数值为每100g基准；来源未附包装照片/净含量/钠值，纤维素字段多为0.00占位。本条宏量经Atwater(4/4/9)反算与所标能量自洽，判为可信的标签转录。,False,B,energy=243kcal/100g; protein=9.6g/100g; carbs=29.1g/100g; fat=9.5g/100g,每100g基准；净含量/钠未披露
src-fm-xsw-377491,familymart-cn-jinqiangyu-shucai-shala,全家便利店,金枪鱼蔬菜沙拉,third_party_analysis,https://www.xuanshiwu.com/foods/377491.html,选食物网 · 金枪鱼蔬菜沙拉,选食物网(众包营养库),2024-10-20,选食物网(众包食品营养库)转录商品包装营养成分表(GB28050 '1+4')，数值为每100g基准；来源未附包装照片/净含量/钠值，纤维素字段多为0.00占位。本条宏量经Atwater(4/4/9)反算与所标能量自洽，判为可信的标签转录。,False,B,energy=138kcal/100g; protein=4.4g/100g; carbs=10.5g/100g; fat=8.8g/100g,每100g基准；净含量/钠未披露
src-fm-xsw-745722,familymart-cn-rishi-jinqiangyu-shuangshuni-shala,全家便利店,日式金枪鱼双薯泥沙拉,third_party_analysis,https://www.xuanshiwu.com/foods/745722.html,选食物网 · 日式金枪鱼双薯泥沙拉,选食物网(众包营养库),2024-10-23,选食物网(众包食品营养库)转录商品包装营养成分表(GB28050 '1+4')，数值为每100g基准；来源未附包装照片/净含量/钠值，纤维素字段多为0.00占位。本条宏量经Atwater(4/4/9)反算与所标能量自洽，判为可信的标签转录。,False,B,energy=65kcal/100g; protein=2.8g/100g; carbs=10.9g/100g; fat=1.1g/100g,每100g基准；净含量/钠未披露
src-fm-xsw-520325,familymart-cn-nangua-rulao-mianbao,全家便利店,南瓜乳酪面包,third_party_analysis,https://www.xuanshiwu.com/foods/520325.html,选食物网 · 南瓜乳酪面包,选食物网(众包营养库),2024-10-21,选食物网(众包食品营养库)转录商品包装营养成分表(GB28050 '1+4')，数值为每100g基准；来源未附包装照片/净含量/钠值，纤维素字段多为0.00占位。本条宏量经Atwater(4/4/9)反算与所标能量自洽，判为可信的标签转录。,False,B,energy=312kcal/100g; protein=7.8g/100g; carbs=49.1g/100g; fat=9.2g/100g,每100g基准；净含量/钠未披露
src-fm-xsw-525637,familymart-cn-rishi-hongdou-shao-mianbao,全家便利店,日式红豆烧面包,third_party_analysis,https://www.xuanshiwu.com/foods/525637.html,选食物网 · 日式红豆烧面包,选食物网(众包营养库),2024-10-21,选食物网(众包食品营养库)转录商品包装营养成分表(GB28050 '1+4')，数值为每100g基准；来源未附包装照片/净含量/钠值，纤维素字段多为0.00占位。本条宏量经Atwater(4/4/9)反算与所标能量自洽，判为可信的标签转录。,False,B,energy=271kcal/100g; protein=6.7g/100g; carbs=55.1g/100g; fat=2.3g/100g,每100g基准；净含量/钠未披露
src-fm-xsw-521528,familymart-cn-maomaochong-mianbao,全家便利店,毛毛虫面包,third_party_analysis,https://www.xuanshiwu.com/foods/521528.html,选食物网 · 毛毛虫面包,选食物网(众包营养库),2024-10-21,选食物网(众包食品营养库)转录商品包装营养成分表(GB28050 '1+4')，数值为每100g基准；来源未附包装照片/净含量/钠值，纤维素字段多为0.00占位。本条宏量经Atwater(4/4/9)反算与所标能量自洽，判为可信的标签转录。,False,B,energy=360kcal/100g; protein=8.8g/100g; carbs=48.6g/100g; fat=14.4g/100g,每100g基准；净含量/钠未披露
src-fm-xsw-482559,familymart-cn-bingpi-yueliang-dangao,全家便利店,冰皮月亮蛋糕,third_party_analysis,https://www.xuanshiwu.com/foods/482559.html,选食物网 · 冰皮月亮蛋糕,选食物网(众包营养库),2024-10-21,选食物网(众包食品营养库)转录商品包装营养成分表(GB28050 '1+4')，数值为每100g基准；来源未附包装照片/净含量/钠值，纤维素字段多为0.00占位。本条宏量经Atwater(4/4/9)反算与所标能量自洽，判为可信的标签转录。,False,B,energy=159kcal/100g; protein=4.3g/100g; carbs=17.2g/100g; fat=8.1g/100g,每100g基准；净含量/钠未披露
src-fm-106-huotui-zonghe-sanmingzhi,familymart-cn-huotui-zonghe-sanmingzhi,全家便利店,火腿综合三明治,third_party_analysis,https://post.smzdm.com/p/av7o8nv7/,吃光106个三明治和饭团·便利店早餐报告,魔都食鉴局(什么值得买),2020-08-14,实地购买四大便利店106款三明治/饭团，逐款读取并转录商品包装营养标签(净含量/能量KJ·100g/热量Kcal·份),False,B,net=139g; energy=1063KJ/100g(≈254.1kcal/100g); 352.6kcal/份; price见原文,仅能量被转录，无宏量；2020年数据
src-fm-106-quanmai-xunji-shala-sanmingzhi,familymart-cn-quanmai-xunji-shala-sanmingzhi,全家便利店,全麦熏鸡沙拉三明治,third_party_analysis,https://post.smzdm.com/p/av7o8nv7/,吃光106个三明治和饭团·便利店早餐报告,魔都食鉴局(什么值得买),2020-08-14,实地购买四大便利店106款三明治/饭团，逐款读取并转录商品包装营养标签(净含量/能量KJ·100g/热量Kcal·份),False,B,net=108g; energy=983KJ/100g(≈234.9kcal/100g); 253.4kcal/份; price见原文,仅能量被转录，无宏量；2020年数据
src-fm-106-houqie-zhupai-sanmingzhi,familymart-cn-houqie-zhupai-sanmingzhi,全家便利店,厚切猪排三明治,third_party_analysis,https://post.smzdm.com/p/av7o8nv7/,吃光106个三明治和饭团·便利店早餐报告,魔都食鉴局(什么值得买),2020-08-14,实地购买四大便利店106款三明治/饭团，逐款读取并转录商品包装营养标签(净含量/能量KJ·100g/热量Kcal·份),False,B,net=136g; energy=1682KJ/100g(≈402.0kcal/100g); 545.9kcal/份; price见原文,仅能量被转录，无宏量；2020年数据
src-fm-106-houshao-tusi-zhishi-zhaji-sanmingzhi,familymart-cn-houshao-tusi-zhishi-zhaji-sanmingzhi,全家便利店,厚烧吐司芝士炸鸡三明治,third_party_analysis,https://post.smzdm.com/p/av7o8nv7/,吃光106个三明治和饭团·便利店早餐报告,魔都食鉴局(什么值得买),2020-08-14,实地购买四大便利店106款三明治/饭团，逐款读取并转录商品包装营养标签(净含量/能量KJ·100g/热量Kcal·份),False,B,net=178g; energy=1110KJ/100g(≈265.3kcal/100g); 471.6kcal/份; price见原文,仅能量被转录，无宏量；2020年数据
src-fm-106-ludan-xiangchang-zimi-cifantuan,familymart-cn-ludan-xiangchang-zimi-cifantuan,全家便利店,卤蛋香肠紫米粢饭团,third_party_analysis,https://post.smzdm.com/p/av7o8nv7/,吃光106个三明治和饭团·便利店早餐报告,魔都食鉴局(什么值得买),2020-08-14,实地购买四大便利店106款三明治/饭团，逐款读取并转录商品包装营养标签(净含量/能量KJ·100g/热量Kcal·份),False,B,net=176g; energy=805KJ/100g(≈192.4kcal/100g); 338.1kcal/份; price见原文,仅能量被转录，无宏量；2020年数据
src-fm-lazy-tunnayu-shala-sanjiao-fantuan,familymart-cn-tunnayu-shala-sanjiao-fantuan,全家便利店,吞拿鱼沙拉三角饭团,third_party_analysis,https://post.m.smzdm.com/zz/p/a9kvqxl0/,懒人速食！全家便利店减脂餐怎么吃？,瘦吃老行家bot(小红书) / smzdm转载(AI总结),,"小红书攻略口径:直接给出商品名+净含量(g)+每份热量(大卡),未附称重方法或包装标签照片",False,C,201kcal/107g,仅能量;无宏量;AI总结口径
src-fm-lazy-quanmai-xunji-tudou-shala-sanmingzhi,familymart-cn-quanmai-xunji-tudou-shala-sanmingzhi,全家便利店,全麦熏鸡土豆沙拉三明治,third_party_analysis,https://post.m.smzdm.com/zz/p/a9kvqxl0/,懒人速食！全家便利店减脂餐怎么吃？,瘦吃老行家bot(小红书) / smzdm转载(AI总结),,"小红书攻略口径:直接给出商品名+净含量(g)+每份热量(大卡),未附称重方法或包装标签照片",False,C,201kcal/98g,仅能量;无宏量;AI总结口径
src-fm-lazy-dizhi-jixiong-rouwan,familymart-cn-dizhi-jixiong-rouwan,全家便利店,低脂鸡胸肉丸,third_party_analysis,https://post.m.smzdm.com/zz/p/a9kvqxl0/,懒人速食！全家便利店减脂餐怎么吃？,瘦吃老行家bot(小红书) / smzdm转载(AI总结),,"小红书攻略口径:直接给出商品名+净含量(g)+每份热量(大卡),未附称重方法或包装标签照片",False,C,56kcal/60g,仅能量;无宏量;AI总结口径
src-fm-lazy-jixiong-rou-qiepian,familymart-cn-jixiong-rou-qiepian,全家便利店,鸡胸肉切片,third_party_analysis,https://post.m.smzdm.com/zz/p/a9kvqxl0/,懒人速食！全家便利店减脂餐怎么吃？,瘦吃老行家bot(小红书) / smzdm转载(AI总结),,"小红书攻略口径:直接给出商品名+净含量(g)+每份热量(大卡),未附称重方法或包装标签照片",False,C,74kcal/60g,仅能量;无宏量;AI总结口径
src-fm-lazy-yanxun-jirou-shucai-shala,familymart-cn-yanxun-jirou-shucai-shala,全家便利店,烟熏鸡肉蔬菜沙拉,third_party_analysis,https://post.m.smzdm.com/zz/p/a9kvqxl0/,懒人速食！全家便利店减脂餐怎么吃？,瘦吃老行家bot(小红书) / smzdm转载(AI总结),,"小红书攻略口径:直接给出商品名+净含量(g)+每份热量(大卡),未附称重方法或包装标签照片",False,C,~80–160kcal/130g,仅能量;无宏量;AI总结口径
src-fm-lazy-heijiao-niurou-shala,familymart-cn-heijiao-niurou-shala,全家便利店,黑椒牛肉沙拉,third_party_analysis,https://post.m.smzdm.com/zz/p/a9kvqxl0/,懒人速食！全家便利店减脂餐怎么吃？,瘦吃老行家bot(小红书) / smzdm转载(AI总结),,"小红书攻略口径:直接给出商品名+净含量(g)+每份热量(大卡),未附称重方法或包装标签照片",False,C,117kcal/180g,仅能量;无宏量;AI总结口径
src-fm-lazy-huorun-qingshi-bei,familymart-cn-huorun-qingshi-bei,全家便利店,活润0添加蔗糖轻食杯,third_party_analysis,https://post.m.smzdm.com/zz/p/a9kvqxl0/,懒人速食！全家便利店减脂餐怎么吃？,瘦吃老行家bot(小红书) / smzdm转载(AI总结),,"小红书攻略口径:直接给出商品名+净含量(g)+每份热量(大卡),未附称重方法或包装标签照片",False,C,~150–200kcal/340g,仅能量;无宏量;AI总结口径
src-fm-lazy-rishi-tangxin-dan,familymart-cn-rishi-tangxin-dan,全家便利店,日式唐心蛋(溏心蛋),third_party_analysis,https://post.m.smzdm.com/zz/p/a9kvqxl0/,懒人速食！全家便利店减脂餐怎么吃？,瘦吃老行家bot(小红书) / smzdm转载(AI总结),,"小红书攻略口径:直接给出商品名+净含量(g)+每份热量(大卡),未附称重方法或包装标签照片",False,C,73kcal/48g,仅能量;无宏量;AI总结口径
src-fm-lazy-manao-lvdoushui,familymart-cn-manao-lvdoushui,全家便利店,慢熬绿豆水,third_party_analysis,https://post.m.smzdm.com/zz/p/a9kvqxl0/,懒人速食！全家便利店减脂餐怎么吃？,瘦吃老行家bot(小红书) / smzdm转载(AI总结),,"小红书攻略口径:直接给出商品名+净含量(g)+每份热量(大卡),未附称重方法或包装标签照片",False,C,95kcal/400g,仅能量;无宏量;AI总结口径
src-fm-oden-oden-bailuobo,familymart-cn-oden-bailuobo,全家便利店,关东煮 白萝卜,third_party_analysis,https://post.smzdm.com/p/arz2z2z7/,便利店关东煮热量测评,14位全网作者/smzdm AI聚合,2025-06-23,"AI聚合攻略,给品类级定性(清汤底整碗<200大卡;蛋白1+蔬菜2+魔芋公式;丸类偏高),无全家逐品数值与方法",False,D,关东煮:清汤底整碗常<200大卡;调味料14大卡/热辣24大卡;鸡蛋约116大卡/100g(罗森口径),"仅作菜单事实/线索,不作营养数值"
src-fm-oden-oden-moyusi,familymart-cn-oden-moyusi,全家便利店,关东煮 魔芋丝/魔芋结,third_party_analysis,https://post.smzdm.com/p/arz2z2z7/,便利店关东煮热量测评,14位全网作者/smzdm AI聚合,2025-06-23,"AI聚合攻略,给品类级定性(清汤底整碗<200大卡;蛋白1+蔬菜2+魔芋公式;丸类偏高),无全家逐品数值与方法",False,D,关东煮:清汤底整碗常<200大卡;调味料14大卡/热辣24大卡;鸡蛋约116大卡/100g(罗森口径),"仅作菜单事实/线索,不作营养数值"
src-fm-oden-oden-haidaijie,familymart-cn-oden-haidaijie,全家便利店,关东煮 海带结,third_party_analysis,https://post.smzdm.com/p/arz2z2z7/,便利店关东煮热量测评,14位全网作者/smzdm AI聚合,2025-06-23,"AI聚合攻略,给品类级定性(清汤底整碗<200大卡;蛋白1+蔬菜2+魔芋公式;丸类偏高),无全家逐品数值与方法",False,D,关东煮:清汤底整碗常<200大卡;调味料14大卡/热辣24大卡;鸡蛋约116大卡/100g(罗森口径),"仅作菜单事实/线索,不作营养数值"
src-fm-oden-oden-jidan,familymart-cn-oden-jidan,全家便利店,关东煮 鸡蛋,third_party_analysis,https://post.smzdm.com/p/arz2z2z7/,便利店关东煮热量测评,14位全网作者/smzdm AI聚合,2025-06-23,"AI聚合攻略,给品类级定性(清汤底整碗<200大卡;蛋白1+蔬菜2+魔芋公式;丸类偏高),无全家逐品数值与方法",False,D,关东煮:清汤底整碗常<200大卡;调味料14大卡/热辣24大卡;鸡蛋约116大卡/100g(罗森口径),"仅作菜单事实/线索,不作营养数值"
src-fm-oden-oden-yudoufu,familymart-cn-oden-yudoufu,全家便利店,关东煮 鱼豆腐,third_party_analysis,https://post.smzdm.com/p/arz2z2z7/,便利店关东煮热量测评,14位全网作者/smzdm AI聚合,2025-06-23,"AI聚合攻略,给品类级定性(清汤底整碗<200大卡;蛋白1+蔬菜2+魔芋公式;丸类偏高),无全家逐品数值与方法",False,D,关东煮:清汤底整碗常<200大卡;调味料14大卡/热辣24大卡;鸡蛋约116大卡/100g(罗森口径),"仅作菜单事实/线索,不作营养数值"
src-fm-oden-oden-jirouwan,familymart-cn-oden-jirouwan,全家便利店,关东煮 鸡肉丸,third_party_analysis,https://post.smzdm.com/p/arz2z2z7/,便利店关东煮热量测评,14位全网作者/smzdm AI聚合,2025-06-23,"AI聚合攻略,给品类级定性(清汤底整碗<200大卡;蛋白1+蔬菜2+魔芋公式;丸类偏高),无全家逐品数值与方法",False,D,关东煮:清汤底整碗常<200大卡;调味料14大卡/热辣24大卡;鸡蛋约116大卡/100g(罗森口径),"仅作菜单事实/线索,不作营养数值"
src-fm-oden-oden-saniaoniuwan,familymart-cn-oden-saniaoniuwan,全家便利店,关东煮 撒尿牛丸,third_party_analysis,https://post.smzdm.com/p/arz2z2z7/,便利店关东煮热量测评,14位全网作者/smzdm AI聚合,2025-06-23,"AI聚合攻略,给品类级定性(清汤底整碗<200大卡;蛋白1+蔬菜2+魔芋公式;丸类偏高),无全家逐品数值与方法",False,D,关东煮:清汤底整碗常<200大卡;调味料14大卡/热辣24大卡;鸡蛋约116大卡/100g(罗森口径),"仅作菜单事实/线索,不作营养数值"
src-fm-ai-zhaoshao-jipai-fantuan,familymart-cn-zhaoshao-jipai-fantuan,全家便利店,照烧鸡排饭团,xiaohongshu_claim,https://post.smzdm.com/p/arln4k9z/,全家热量大测评(AI生成),庙行万渡汇(小红薯)/smzdm AI聚合,2025-01-24,"AI生成测评,给出部分饭团每份大卡但无包装照片/称重方法,数值不采信",False,D,"照烧鸡排饭团≈380–390大卡;酥松蛋黄酱三角饭团≈255大卡;金枪鱼沙拉三角饭团≈513大卡(均AI口径,未采信)","仅作菜单事实/线索,不作营养数值"
src-fm-ai-susong-danhuangjiang-sanjiao-fantuan,familymart-cn-susong-danhuangjiang-sanjiao-fantuan,全家便利店,酥松蛋黄酱三角饭团,xiaohongshu_claim,https://post.smzdm.com/p/arln4k9z/,全家热量大测评(AI生成),庙行万渡汇(小红薯)/smzdm AI聚合,2025-01-24,"AI生成测评,给出部分饭团每份大卡但无包装照片/称重方法,数值不采信",False,D,"照烧鸡排饭团≈380–390大卡;酥松蛋黄酱三角饭团≈255大卡;金枪鱼沙拉三角饭团≈513大卡(均AI口径,未采信)","仅作菜单事实/线索,不作营养数值"
src-foodbowl-001,,超级碗 FOODBOWL,全菜单（菜单事实 / 品牌口径）,official_menu,http://www.foodbowl.cn/,超级碗FOODBOWL 官网 · Product Display（中国风味 热烹轻食）,超级碗 FOODBOWL（北京麦和餐饮管理有限公司）,2026-09-18,官网 Product Display 逐项列出2款产品的组成、克重与能量（三文鱼多蛋白热烹沙拉 440g/510Kcal；蜜汁鸡腿超级碗 473g/550Kcal）；Brand Story 确认「中国风味 热烹轻食」「全国100多家直营门店」「季度换新」。官网未提供完整菜单列表与逐项宏量表。,True,A,"三文鱼多蛋白热烹沙拉: 约440克/份, 510Kcal/份, 6蔬菜(西蓝花/杏鲍菇/红彩椒/黄彩椒/西葫芦/番茄)+3碳水(烤南瓜/芝士玉米/三色藜麦)+3蛋白(半颗溏心蛋/彩椒三文鱼/七味豆腐) || 蜜汁鸡腿超级碗: 约473克/份, 550Kcal/份, 食材=鸡腿肉/烤蔬菜/番茄/玉米等 || 全国100多家直营门店",官网为唯一 A 级来源，但仅覆盖2个SKU且只有能量+克重（无蛋白/碳水/脂肪）。按项目规则，官方标称 kcal 记入各SKU merchant_claims，不填入营养数值字段；provenance 完整保留于此。官网为 Strikingly 建站，无公开营养表下载页。
src-foodbowl-002,,超级碗 FOODBOWL,全组件与 preset 碗（能量表）,third_party_analysis,https://guanguanida.github.io/Superbowl-Calculation/,超级碗热量记录器（第三方开源热量计算器，含全组件kcal表）,Ida Guan（个人开发者，GitHub: guanguanida/Superbowl-Calculation）,2026-09-18,开源网页计算器，页面声明「食材热量基于官方数据」。内嵌 JS 常量表覆盖：主菜/碗25项、碳水7项、辅助碳水5项、植物纤维6项、莎莎3项、碎碎5项、酱料12项、小食7项、饮料7项。未公开逐项计算方法、份量口径与数据抓取时间；仅能量、无宏量。经交叉验证（蜜汁鸡腿超级碗230 vs 门店官方标注蜜汁鸡腿肉100g/240kcal）判定「XX超级碗」条目为【蛋白主菜槽】值而非整碗值。,False,C,见 components[] 与各 SKU source_notes；关键值：果木烟熏鸡胸105 / 番茄牛腩140 / 亚麻籽油烤虾54 / 金枪鱼132 / 香煎三文鱼134 / 日本七味豆腐187 / 蜜汁鸡腿230；6种谷物饭335 / 意式蔬菜烩饭345 / 夏日菠菜荞麦面368 / 混合沙拉叶14 / 半半175 / 双色胡萝卜焖饭332；主厨凯撒酱138 / 焙煎芝麻酱86 / 牛油果酱76 / 橄榄油黑醋汁57 / 凤梨欧芹辣青酱56 / 招牌牛肉辣酱54 / 川味辣椒粉40 / 博洛尼亚牛肉酱32 / 坚果彩椒酱25 / 青瓜莳萝酸奶酱20 / 融合油醋汁14 / 云南树番茄烧椒酱12；冬阴功鸡肉锅317(不含汤)/493(含汤)；冬阴功牛肉锅405/677；新疆番茄鸡肉锅317；新疆番茄牛肉锅405；热烤甜椒鸡腿卷289；奶香菠菜三文鱼卷335；咬春鲜笋鸡肉菜饭550；半半鸡肉时蔬拌面361；半半鸡丝时蔬拌面432；海陆多蛋白热烹沙拉489；彩椒鸡胸双蛋白热烹沙拉390；三文鱼多蛋白热烹沙拉482；地中海夏日沙拉337；海陆双蛋白地中海348；果木烟熏鸡胸地中海337；三文鱼双蛋白地中海432,本品牌 component model 的主要骨架来源。C 级：基于菜单写明组成的 component estimate，仅能量、无宏量、无公开方法学。碳水槽数值(332-368)与官方标注(180g/208)及fatsecret(180g/203)存在约60-70%系统性偏高，已在相关SKU记入 conflicting_sources，未擅自取舍。
src-foodbowl-003,,超级碗 FOODBOWL,7项单品（能量+宏量）,third_party_analysis,https://www.fatsecret.cn/%E7%83%AD%E9%87%8F%E8%90%A5%E5%85%BB/%E8%B6%85%E7%BA%A7%E7%A2%97,fatsecret.cn 超级碗 品牌页（第三方聚合，源: fatsecret Platform API，非官方）,fatsecret（第三方食物数据库，页面标注「源: fatsecret Platform API」）,2026-09-18,第三方聚合数据库，条目含官方口径份量与能量+脂肪+碳水+蛋白。品牌页仅收录7项（鸡肉时蔬饼/热烤甜椒鸡腿卷/意式蔬菜烩饭/奶香菠菜三文鱼卷/四好时蔬/蜜汁鸡腿肉/日式七味豆腐），存档页显示无已下架条目。非品牌官方发布，无纤维/钠/糖。,False,C,鸡肉时蔬饼 20g: 24kcal P2.6 C0.4 F1.4 || 热烤甜椒鸡腿卷 130g: 291-292kcal P17.1 C26.1 F13.9 || 意式蔬菜烩饭 180g: 203kcal P4.68 C38.7 F1.8 || 奶香菠菜三文鱼卷 130g: 330kcal P16.3 C22.2 F19.5 || 四好时蔬 90g: 48kcal P2.8 C5.0 F2.5 || 蜜汁鸡腿肉 100g: 200kcal P15.4 C0.47 F19.58 || 日式七味豆腐 100g: 142kcal P17.82 C11.77 F3.96,本品牌唯一提供宏量的第三方来源。与第三方计算器在卷类上高度一致（289 vs 292；335 vs 330），在七味豆腐(142 vs 187)与烩饭(203 vs 345)上冲突，均记入 conflicting_sources。
src-foodbowl-004,,超级碗 FOODBOWL,门店官方标签转录 + 点单模型,third_party_analysis,https://www.foodaily.com/articles/36405,潮生TIDE《黄人饭打败白人饭，北京白领开始吃盖浇饭减脂了》（Foodaily转载，2024-04-25）,潮生TIDE（yoyumi、杨柳）；Foodaily每日食品转载,2024-04-25,记者实地探访并转录门店标注的重量+卡路里（B级：给出克重与数值、有实拍照片依据）。同时记录完整点单模型：六个部分依次为「碳水或沙拉 → 辅助碳水 → 植物纤维 → 莎莎(salsa) → 碎碎 → 酱料」，每个种类任意搭配，详情页标注具体重量和卡路里。,False,B,蜜汁鸡腿肉 100g = 240 kcal || 混合谷物饭 180g = 208 kcal || 番茄辣酱 30g（kcal未转录） || 品牌数据：2015年创立于北京三里屯；2024年北京/上海/成都近100家门店；门店年增速100%；热食占比>95%（沙拉<5%）；80%用户为泛健康人群；价格35-45元（GOOODS另记）,最有价值的第三方来源：既给官方标签数值，又给完整点单结构，是 component model 的结构性依据。
src-foodbowl-005,,超级碗 FOODBOWL,黄柿子鲜蔬锅（官方文案全宏量）,third_party_analysis,https://m.anxjm.com/busInfo/392622.html,安心加盟网·超级碗foodbowl（转载FOODBOWL官方产品文案，含鲜蔬锅全宏量）,安心加盟网（转载 FOODBOWL 官方产品文案与品牌故事）,2026-09-18,该页逐字转载 FOODBOWL 官网 Brand Story（「没想到超级碗8年了」…「因为你们，所以碗门」）与官方产品文案，判定其鲜蔬锅营养数据来自官方产品页。同页「476家门店数」与官方「100多家直营」明显矛盾，说明该站为聚合抓取，数据需逐项校验，故 is_official=False、grade B。,False,B,"黄柿子牛肉鲜蔬锅: 含汤约800g/份, 620卡, 蛋白28g, 脂肪42g, 碳水29g；配料=牛胸肉片+6种蔬菜(西兰花/娃娃菜/小番茄/白玉菇/甜玉米/冬瓜)+两大块北豆腐+两个蛋饺+半颗温泉蛋 || 黄柿子鸡肉鲜蔬锅: 含汤约780g/份, 435卡, 蛋白35g, 脂肪19g, 碳水33g；配料=鸡肉片+同6种蔬菜+北豆腐+蛋饺+半颗温泉蛋",本品牌唯一可得的全宏量「官方口径」数据。按项目规则记入 merchant_claims + sources，未填入 SKU 营养数值字段。牛肉款宏量自洽性偏差（P28/F42/C29 折算610 vs 标称620，且含汤锅脂肪42g偏高），鸡肉款自洽（折算443 vs 435）。
