id,brand,brand_category,product_name,product_name_normalized,menu_category,product_description,serving_size,serving_size_unit,energy_kcal,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,sugar_g,nutrition_value_type,energy_min_kcal,energy_max_kcal,protein_min_g,protein_max_g,carbs_min_g,carbs_max_g,fat_min_g,fat_max_g,primary_source_type,primary_source_url,primary_source_title,primary_source_date,secondary_source_url,source_notes,confidence_grade,merchant_claims,xiaohongshu_keywords,common_modifications,tags,research_status,last_verified_date,item_type,combo_components,calorie_uncertainty_drivers,conflicting_sources,best_current_estimate
pick-micun-02,米村拌饭,B,牛肉粒拌饭(去酱+去海苔碎),beef bits bibimbap no sauce no seaweed,减脂组合,用户UGC改法: 750→551,1,份,,,,,,,,estimated_range,500,600,,,,,,,third_party_analysis,https://post.smzdm.com/zz/p/akoekgv9/,米村拌饭全测评·500大卡怎么吃,2026-09-18,,UGC点值750→551,C,,米村拌饭 减脂,去酱; 去海苔碎,rice_bowl; combo; high_protein,complete,2026-09-18,custom_combo,base=米饭; protein=牛肉粒; sauce=去; topping=去海苔碎,拌饭酱; 米饭份量,,500-600 kcal
pick-tastien-01,塔斯汀,B,湘辣嫩鸡肉汉堡(去酱多菜),xiangla tender chicken burger no sauce extra veg,减脂组合,用户UGC改法,1,份,,,,,,,,estimated_range,290,360,,,,,,,third_party_analysis,https://post.smzdm.com/p/avvoonk9/,塔斯汀汉堡500kcal以内低卡吃法,2026-09-18,,UGC点值约325kcal,C,,塔斯汀 减脂,去酱; 多菜,burger; high_protein,complete,2026-09-18,single_item,,酱; 面包胚,,290-360 kcal
pick-tastien-02,塔斯汀,B,藤椒鸡腿堡(去酱多菜),tengjiao chicken burger no sauce extra veg,减脂组合,用户UGC改法,1,份,,,,,,,,estimated_range,370,450,,,,,,,third_party_analysis,https://post.smzdm.com/p/avvoonk9/,塔斯汀汉堡500kcal以内低卡吃法,2026-09-18,,UGC点值约410kcal,C,,塔斯汀 减脂,去酱; 多菜,burger,complete,2026-09-18,single_item,,酱; 油炸,,370-450 kcal
pick-shaxian-01,沙县小吃,B,去皮鸡腿饭(米饭减半),"skinless chicken leg rice, half rice",减脂组合,用户UGC高频·沙县减脂顶流,1,份,,,,,,,,estimated_range,470,560,,,,,,,third_party_analysis,https://post.smzdm.com/p/a95e3ko7/,沙县减脂必点清单·去皮鸡腿饭500大卡,2026-09-18,https://www.sina.cn/news/detail/5278129538993462.html,UGC点值约500-525kcal; 门店非标准化,C,,沙县 减脂; 鸡腿饭 热量,去皮; 米饭减半; 加青菜,chinese; rice_bowl; high_protein,complete,2026-09-18,single_item,,鸡皮; 米饭份量; 卤汁,,470-560 kcal
pick-shaxian-02,沙县小吃,B,柳叶蒸饺一份,willow-leaf steamed dumplings 1 portion,减脂组合,用户UGC·相对可控选择,1,份,,,,,,,,estimated_range,300,360,,,,,,,third_party_analysis,https://post.smzdm.com/p/a95e3ko7/,沙县减脂红黑榜,2026-09-18,,UGC点值约326kcal; 个数与皮厚为变量,C,,沙县 减脂,蘸醋不蘸辣油,dumpling,complete,2026-09-18,single_item,,个数; 皮厚; 馅肥瘦,,300-360 kcal
familymart-cn-haixian-shuangwei-sanjiao-fantuan,全家便利店,B,全家海鲜双味三角饭团,seafood double-flavor triangle onigiri,饭团,全家自有鲜食三角饭团，海鲜双味(如虾仁/金枪鱼蛋黄酱类)。选食物网转录包装标签每100g营养；包装净含量未在来源披露，故按每100g基准记录。,100,g（每100g基准；包装净含量未在来源披露）,194,5.8,33.3,4.2,,,,exact,,,,,,,,,third_party_analysis,https://www.xuanshiwu.com/foods/570736.html,选食物网 · 全家海鲜双味三角饭团(每100g营养成分),2024-10-22,,营养为每100g基准(来源未披露净含量，无法折算每份)。宏量经Atwater反算与所标能量自洽，判为真实包装标签转录；钠/糖未披露，纤维素来源标0.00疑为占位故留空。confidence降记B(众包转录、无包装照片)。,B,,全家 全家海鲜双味三角饭团 热量; 全家便利店 减脂; 全家 饭团 营养成分,按每100g能量密度控量; 搭配无糖饮品; 沙拉类可要求酱包分装/少酱,onigiri; carb; seafood,complete,2026-09-18,single_item,,包装净含量未在来源披露(按每100g记录); 是否含酱包/实际酱量; 门店与批次配方差异,,
familymart-cn-aoerliang-kaoji-dakou-fantuan,全家便利店,B,奥尔良风味烤鸡大口饭团,orleans-style roast chicken big-bite onigiri,饭团,全家'大口饭团'系列，奥尔良风味烤鸡馅。选食物网每100g：176kcal/P5.4/C28.8/F4.1；魔都食鉴局2020报告独立读同一包装：净含量175g、737KJ/100g(≈176kcal/100g)、307.8kcal/份，两源每100g能量一致(交叉验证通过)。,100,g（每100g基准；包装净含量未在来源披露）,176,5.4,28.8,4.1,,,,exact,,,,,,,,,third_party_analysis,https://www.xuanshiwu.com/foods/1059818.html,选食物网 · 奥尔良风味烤鸡大口饭团(每100g营养成分),2024-12-11,,营养为每100g基准(来源未披露净含量，无法折算每份)。宏量经Atwater反算与所标能量自洽，判为真实包装标签转录；钠/糖未披露，纤维素来源标0.00疑为占位故留空。confidence降记B(众包转录、无包装照片)。,B,,全家 奥尔良风味烤鸡大口饭团 热量; 全家便利店 减脂; 全家 饭团 营养成分,按每100g能量密度控量; 搭配无糖饮品; 沙拉类可要求酱包分装/少酱,onigiri; chicken; carb,complete,2026-09-18,single_item,,包装净含量未在来源披露(按每100g记录); 是否含酱包/实际酱量; 门店与批次配方差异,,
familymart-cn-xianshu-huotui-sanmingzhi,全家便利店,B,鲜蔬火腿三明治,fresh veggie ham sandwich,三明治,全家经典款三明治(生菜+火腿+鸡蛋皮)。选食物网每100g：201kcal/P9/C21/F9(自洽)。魔都食鉴局2020读包装：净含量123g、914KJ/100g(≈218kcal/100g)、268.3kcal/份——每100g能量与选食物网存在差异，见conflicting_sources。,100,g（每100g基准；包装净含量未在来源披露）,201,9.0,21.0,9.0,,,,exact,,,,,,,,,third_party_analysis,https://www.xuanshiwu.com/foods/700132.html,选食物网 · 鲜蔬火腿三明治(每100g营养成分),2024-10-22,https://post.smzdm.com/p/av7o8nv7/,营养为每100g基准(来源未披露净含量，无法折算每份)。宏量经Atwater反算与所标能量自洽，判为真实包装标签转录；钠/糖未披露，纤维素来源标0.00疑为占位故留空。confidence降记B(众包转录、无包装照片)。,B,,全家 鲜蔬火腿三明治 热量; 全家便利店 减脂; 全家 三明治 营养成分,按每100g能量密度控量; 搭配无糖饮品; 沙拉类可要求酱包分装/少酱,sandwich; ham; egg; carb,complete,2026-09-18,single_item,,包装净含量未在来源披露(按每100g记录); 是否含酱包/实际酱量; 门店与批次配方差异,"选食物网(众包转录包装标签): 201大卡/100g, P9/C21/F9(自洽) | 魔都食鉴局2020报告(读包装): 914KJ/100g≈218大卡/100g, 净含量123g, 268.3大卡/份 | 每100g能量差约17大卡(201 vs 218) | 不同年份/批次配方调整；两来源均自称源自包装标签但转录口径不同",每100g能量约201–218大卡；宏量以选食物网P9/C21/F9为准(自洽至201大卡)。单份按2020净含量123g估算约247–268大卡。钠未披露。
familymart-cn-quanmai-huotui-dan-shala-sanmingzhi,全家便利店,B,全麦火腿蛋沙拉三明治,whole-wheat ham & egg salad sandwich,三明治,全麦吐司+火腿+鸡蛋沙拉。选食物网每100g：243kcal/P9.6/C29.1/F9.5(自洽)。全麦吐司但含蛋黄酱沙拉，脂肪不低，非'低卡'款。,100,g（每100g基准；包装净含量未在来源披露）,243,9.6,29.1,9.5,,,,exact,,,,,,,,,third_party_analysis,https://www.xuanshiwu.com/foods/400273.html,选食物网 · 全麦火腿蛋沙拉三明治(每100g营养成分),2024-10-20,,营养为每100g基准(来源未披露净含量，无法折算每份)。宏量经Atwater反算与所标能量自洽，判为真实包装标签转录；钠/糖未披露，纤维素来源标0.00疑为占位故留空。confidence降记B(众包转录、无包装照片)。,B,,全家 全麦火腿蛋沙拉三明治 热量; 全家便利店 减脂; 全家 三明治 营养成分,按每100g能量密度控量; 搭配无糖饮品; 沙拉类可要求酱包分装/少酱,sandwich; whole_wheat; ham; egg,complete,2026-09-18,single_item,,包装净含量未在来源披露(按每100g记录); 是否含酱包/实际酱量; 门店与批次配方差异,,
familymart-cn-jinqiangyu-shucai-shala,全家便利店,B,金枪鱼蔬菜沙拉,tuna vegetable salad,沙拉,全家冷藏沙拉(别名'金枪鱼卷蔬菜沙拉')。选食物网每100g：138kcal/P4.4/C10.5/F8.8。脂肪8.8g/100g偏高，推测含蛋黄酱/沙拉酱；是否含酱包及酱量为最大不确定项。,100,g（每100g基准；包装净含量未在来源披露）,138,4.4,10.5,8.8,,,,exact,,,,,,,,,third_party_analysis,https://www.xuanshiwu.com/foods/377491.html,选食物网 · 金枪鱼蔬菜沙拉(每100g营养成分),2024-10-20,,营养为每100g基准(来源未披露净含量，无法折算每份)。宏量经Atwater反算与所标能量自洽，判为真实包装标签转录；钠/糖未披露，纤维素来源标0.00疑为占位故留空。confidence降记B(众包转录、无包装照片)。,B,,全家 金枪鱼蔬菜沙拉 热量; 全家便利店 减脂; 全家 沙拉 营养成分,按每100g能量密度控量; 搭配无糖饮品; 沙拉类可要求酱包分装/少酱,salad; tuna; vegetable,complete,2026-09-18,single_item,,包装净含量未在来源披露(按每100g记录); 是否含酱包/实际酱量; 门店与批次配方差异,,
familymart-cn-rishi-jinqiangyu-shuangshuni-shala,全家便利店,B,日式金枪鱼双薯泥沙拉,japanese-style tuna & double potato salad,沙拉,日式金枪鱼+双薯泥(土豆/山药类)沙拉。选食物网每100g：65kcal/P2.8/C10.9/F1.1，属沙拉中较低脂款。,100,g（每100g基准；包装净含量未在来源披露）,65,2.8,10.9,1.1,,,,exact,,,,,,,,,third_party_analysis,https://www.xuanshiwu.com/foods/745722.html,选食物网 · 日式金枪鱼双薯泥沙拉(每100g营养成分),2024-10-23,,营养为每100g基准(来源未披露净含量，无法折算每份)。宏量经Atwater反算与所标能量自洽，判为真实包装标签转录；钠/糖未披露，纤维素来源标0.00疑为占位故留空。confidence降记B(众包转录、无包装照片)。,B,,全家 日式金枪鱼双薯泥沙拉 热量; 全家便利店 减脂; 全家 沙拉 营养成分,按每100g能量密度控量; 搭配无糖饮品; 沙拉类可要求酱包分装/少酱,salad; tuna; potato; low_fat,complete,2026-09-18,single_item,,包装净含量未在来源披露(按每100g记录); 是否含酱包/实际酱量; 门店与批次配方差异,,
familymart-cn-nangua-rulao-mianbao,全家便利店,B,南瓜乳酪面包,pumpkin cheese bread,面包,全家烘焙面包，南瓜乳酪馅。选食物网每100g：312kcal/P7.8/C49.1/F9.2。碳水密度高，非减脂优选，收录供参考。,100,g（每100g基准；包装净含量未在来源披露）,312,7.8,49.1,9.2,,,,exact,,,,,,,,,third_party_analysis,https://www.xuanshiwu.com/foods/520325.html,选食物网 · 南瓜乳酪面包(每100g营养成分),2024-10-21,,营养为每100g基准(来源未披露净含量，无法折算每份)。宏量经Atwater反算与所标能量自洽，判为真实包装标签转录；钠/糖未披露，纤维素来源标0.00疑为占位故留空。confidence降记B(众包转录、无包装照片)。,B,,全家 南瓜乳酪面包 热量; 全家便利店 减脂; 全家 面包 营养成分,按每100g能量密度控量; 搭配无糖饮品; 沙拉类可要求酱包分装/少酱,bread; bakery; high_carb,complete,2026-09-18,single_item,,包装净含量未在来源披露(按每100g记录); 是否含酱包/实际酱量; 门店与批次配方差异,,
familymart-cn-rishi-hongdou-shao-mianbao,全家便利店,B,日式红豆烧面包,japanese red-bean bread,面包,红豆馅面包。选食物网每100g：271kcal/P6.7/C55.1/F2.3。低脂但高碳水(含糖红豆)，减脂需控量。,100,g（每100g基准；包装净含量未在来源披露）,271,6.7,55.1,2.3,,,,exact,,,,,,,,,third_party_analysis,https://www.xuanshiwu.com/foods/525637.html,选食物网 · 日式红豆烧面包(每100g营养成分),2024-10-21,,营养为每100g基准(来源未披露净含量，无法折算每份)。宏量经Atwater反算与所标能量自洽，判为真实包装标签转录；钠/糖未披露，纤维素来源标0.00疑为占位故留空。confidence降记B(众包转录、无包装照片)。,B,,全家 日式红豆烧面包 热量; 全家便利店 减脂; 全家 面包 营养成分,按每100g能量密度控量; 搭配无糖饮品; 沙拉类可要求酱包分装/少酱,bread; bakery; high_carb; low_fat,complete,2026-09-18,single_item,,包装净含量未在来源披露(按每100g记录); 是否含酱包/实际酱量; 门店与批次配方差异,,
familymart-cn-maomaochong-mianbao,全家便利店,B,毛毛虫面包,'caterpillar' cream bread,面包,夹心奶油类面包。选食物网每100g：360kcal/P8.8/C48.6/F14.4，高脂高碳，减脂不推荐，收录供参考。,100,g（每100g基准；包装净含量未在来源披露）,360,8.8,48.6,14.4,,,,exact,,,,,,,,,third_party_analysis,https://www.xuanshiwu.com/foods/521528.html,选食物网 · 毛毛虫面包(每100g营养成分),2024-10-21,,营养为每100g基准(来源未披露净含量，无法折算每份)。宏量经Atwater反算与所标能量自洽，判为真实包装标签转录；钠/糖未披露，纤维素来源标0.00疑为占位故留空。confidence降记B(众包转录、无包装照片)。,B,,全家 毛毛虫面包 热量; 全家便利店 减脂; 全家 面包 营养成分,按每100g能量密度控量; 搭配无糖饮品; 沙拉类可要求酱包分装/少酱,bread; bakery; high_fat; high_carb,complete,2026-09-18,single_item,,包装净含量未在来源披露(按每100g记录); 是否含酱包/实际酱量; 门店与批次配方差异,,
familymart-cn-bingpi-yueliang-dangao,全家便利店,B,冰皮月亮蛋糕,snow-skin 'moon' cake,面包/糕点,冰皮糕点。选食物网每100g：159kcal/P4.3/C17.2/F8.1。属糕点类，能量密度中等，减脂需控量。,100,g（每100g基准；包装净含量未在来源披露）,159,4.3,17.2,8.1,,,,exact,,,,,,,,,third_party_analysis,https://www.xuanshiwu.com/foods/482559.html,选食物网 · 冰皮月亮蛋糕(每100g营养成分),2024-10-21,,营养为每100g基准(来源未披露净含量，无法折算每份)。宏量经Atwater反算与所标能量自洽，判为真实包装标签转录；钠/糖未披露，纤维素来源标0.00疑为占位故留空。confidence降记B(众包转录、无包装照片)。,B,,全家 冰皮月亮蛋糕 热量; 全家便利店 减脂; 全家 面包/糕点 营养成分,按每100g能量密度控量; 搭配无糖饮品; 沙拉类可要求酱包分装/少酱,dessert; bakery; snack,complete,2026-09-18,single_item,,包装净含量未在来源披露(按每100g记录); 是否含酱包/实际酱量; 门店与批次配方差异,,
familymart-cn-huotui-zonghe-sanmingzhi,全家便利店,B,火腿综合三明治,ham combo sandwich,三明治,六片吐司升级版，火腿更多+鸡蛋胡萝卜土豆沙拉，酱料足，能量密度高。,139,g（每份净含量）,352.6,,,,,,,exact,,,,,,,,,third_party_analysis,https://post.smzdm.com/p/av7o8nv7/,吃光106个三明治和饭团，得出了这份便利店早餐报告(魔都食鉴局),2020-08-14,,能量源自测评方读取的商品包装标签：净含量139g、能量1063KJ/100g(≈254.1大卡/100g)、352.6大卡/份。来源仅转录能量，未转录蛋白/碳水/脂肪，故宏量留空(见schema §2 能量-only规则)。数据年份为2020-08，2026年配方/在售状态未核实(官方渠道需登录+定位，记blocked)，仅作历史标签参考。,B,,全家 火腿综合三明治 热量; 全家便利店 减脂; 全家 三明治 热量,选择明确低卡系列替代; 减1/3米饭/酱料(减脂攻略建议); 搭配无糖饮品,sandwich; ham; high_cal,complete,2026-09-18,single_item,,酱料/沙拉是主要能量来源; 净含量与实际馅料门店差异; 是否升级为大份,,
familymart-cn-quanmai-xunji-shala-sanmingzhi,全家便利店,B,全麦熏鸡沙拉三明治,whole-wheat smoked chicken salad sandwich,三明治,全麦吐司+熏鸡肉+火腿+蛋皮+生菜，两层不同肉；全麦系列中口碑款。,108,g（每份净含量）,253.4,,,,,,,exact,,,,,,,,,third_party_analysis,https://post.smzdm.com/p/av7o8nv7/,吃光106个三明治和饭团，得出了这份便利店早餐报告(魔都食鉴局),2020-08-14,,能量源自测评方读取的商品包装标签：净含量108g、能量983KJ/100g(≈234.9大卡/100g)、253.4大卡/份。来源仅转录能量，未转录蛋白/碳水/脂肪，故宏量留空(见schema §2 能量-only规则)。数据年份为2020-08，2026年配方/在售状态未核实(官方渠道需登录+定位，记blocked)，仅作历史标签参考。,B,,全家 全麦熏鸡沙拉三明治 热量; 全家便利店 减脂; 全家 三明治 热量,选择明确低卡系列替代; 减1/3米饭/酱料(减脂攻略建议); 搭配无糖饮品,sandwich; whole_wheat; chicken,complete,2026-09-18,single_item,,沙拉酱/蛋黄酱用量; 全麦吐司实际厚度; 熏鸡肉份量,,
familymart-cn-houqie-zhupai-sanmingzhi,全家便利店,B,厚切猪排三明治,thick-cut pork cutlet sandwich,三明治,黄油吐司+两块厚炸猪排+日式酸甜酱+包菜；油炸+黄油吐司，能量密度极高。,136,g（每份净含量）,545.9,,,,,,,exact,,,,,,,,,third_party_analysis,https://post.smzdm.com/p/av7o8nv7/,吃光106个三明治和饭团，得出了这份便利店早餐报告(魔都食鉴局),2020-08-14,,能量源自测评方读取的商品包装标签：净含量136g、能量1682KJ/100g(≈402.0大卡/100g)、545.9大卡/份。来源仅转录能量，未转录蛋白/碳水/脂肪，故宏量留空(见schema §2 能量-only规则)。数据年份为2020-08，2026年配方/在售状态未核实(官方渠道需登录+定位，记blocked)，仅作历史标签参考。,B,,全家 厚切猪排三明治 热量; 全家便利店 减脂; 全家 三明治 热量,选择明确低卡系列替代; 减1/3米饭/酱料(减脂攻略建议); 搭配无糖饮品,sandwich; fried; pork; high_cal,complete,2026-09-18,single_item,,炸猪排裹粉与吸油; 黄油吐司; 日式酱汁含糖,,
familymart-cn-houshao-tusi-zhishi-zhaji-sanmingzhi,全家便利店,B,厚烧吐司芝士炸鸡三明治,thick-toast cheese fried-chicken sandwich,三明治,厚切北海道风味吐司+芝士+炸鸡排+秘制酸甜酱；份量大(178g)。,178,g（每份净含量）,471.6,,,,,,,exact,,,,,,,,,third_party_analysis,https://post.smzdm.com/p/av7o8nv7/,吃光106个三明治和饭团，得出了这份便利店早餐报告(魔都食鉴局),2020-08-14,,能量源自测评方读取的商品包装标签：净含量178g、能量1110KJ/100g(≈265.3大卡/100g)、471.6大卡/份。来源仅转录能量，未转录蛋白/碳水/脂肪，故宏量留空(见schema §2 能量-only规则)。数据年份为2020-08，2026年配方/在售状态未核实(官方渠道需登录+定位，记blocked)，仅作历史标签参考。,B,,全家 厚烧吐司芝士炸鸡三明治 热量; 全家便利店 减脂; 全家 三明治 热量,选择明确低卡系列替代; 减1/3米饭/酱料(减脂攻略建议); 搭配无糖饮品,sandwich; fried_chicken; cheese; high_cal,complete,2026-09-18,single_item,,炸鸡排裹粉吸油; 芝士片数量; 酸甜酱含糖; 厚吐司份量,,
familymart-cn-ludan-xiangchang-zimi-cifantuan,全家便利店,B,卤蛋香肠紫米粢饭团,braised-egg sausage purple-rice onigiri,饭团,上海粢饭团式：紫米+台式黑胡椒肉肠+卤蛋+油条碎，料足份量大(176g)。,176,g（每份净含量）,338.1,,,,,,,exact,,,,,,,,,third_party_analysis,https://post.smzdm.com/p/av7o8nv7/,吃光106个三明治和饭团，得出了这份便利店早餐报告(魔都食鉴局),2020-08-14,,能量源自测评方读取的商品包装标签：净含量176g、能量805KJ/100g(≈192.4大卡/100g)、338.1大卡/份。来源仅转录能量，未转录蛋白/碳水/脂肪，故宏量留空(见schema §2 能量-only规则)。数据年份为2020-08，2026年配方/在售状态未核实(官方渠道需登录+定位，记blocked)，仅作历史标签参考。,B,,全家 卤蛋香肠紫米粢饭团 热量; 全家便利店 减脂; 全家 三明治 热量,选择明确低卡系列替代; 减1/3米饭/酱料(减脂攻略建议); 搭配无糖饮品,onigiri; purple_rice; sausage; egg,complete,2026-09-18,single_item,,肉肠/油条脂肪; 紫米实际份量; 是否含额外酱料,,
familymart-cn-tunnayu-shala-sanjiao-fantuan,全家便利店,B,吞拿鱼沙拉三角饭团,tuna salad triangle onigiri,饭团,金枪鱼(吞拿鱼)沙拉三角饭团，减脂攻略列为低卡主食首选之一(201大卡/107g)。,107,g/份,201,,,,,,,estimated_point,181,221,,,,,,,third_party_analysis,https://post.m.smzdm.com/zz/p/a9kvqxl0/,懒人速食！全家便利店减脂餐怎么吃？(源自小红书 瘦吃老行家bot),,,"能量+规格来自小红书-derived攻略(经smzdm转载,AI总结),仅给能量无宏量,未附方法/包装照片,故降记C级estimated_point(±10%)或estimated_range;宏量/钠未披露。商品名与规格为攻略口径,2026在售未核实。",C,,全家 吞拿鱼沙拉三角饭团 热量; 全家便利店 减脂; 全家 低卡 饭团,按每份能量控量; 搭配无糖饮品; 沙拉/饭团减1/3酱料,onigiri; tuna; lower_cal,complete,2026-09-18,single_item,,是否含金枪鱼蛋黄酱(酱量); 米饭实际份量,,
familymart-cn-quanmai-xunji-tudou-shala-sanmingzhi,全家便利店,B,全麦熏鸡土豆沙拉三明治,whole-wheat smoked chicken potato-salad sandwich,三明治,全麦+熏鸡+土豆沙拉，减脂攻略列为低卡主食(201大卡/98g)。,98,g/份,201,,,,,,,estimated_point,181,221,,,,,,,third_party_analysis,https://post.m.smzdm.com/zz/p/a9kvqxl0/,懒人速食！全家便利店减脂餐怎么吃？(源自小红书 瘦吃老行家bot),,,"能量+规格来自小红书-derived攻略(经smzdm转载,AI总结),仅给能量无宏量,未附方法/包装照片,故降记C级estimated_point(±10%)或estimated_range;宏量/钠未披露。商品名与规格为攻略口径,2026在售未核实。",C,,全家 全麦熏鸡土豆沙拉三明治 热量; 全家便利店 减脂; 全家 低卡 三明治,按每份能量控量; 搭配无糖饮品; 沙拉/饭团减1/3酱料,sandwich; whole_wheat; chicken; lower_cal,complete,2026-09-18,single_item,,土豆沙拉蛋黄酱用量; 熏鸡肉份量; 全麦吐司厚度,,
